0,1,2,3
603628.SH,10.77,27.01,149408.0
300356.SZ,0.73,1.728,149221.0
600975.SH,9.2,11.5,148957.0
301007.SZ,11.818,24.01,148386.0
600757.SH,6.84,12.16,148348.0
002347.SZ,5.062,5.928,148294.0
603268.SH,15.664000000000001,18.358,148166.0
600243.SH,2.5,6.19,147600.0
300304.SZ,4.85,6.890000000000001,147533.0
301301.SZ,7.06,17.5,147204.0
002767.SZ,15.538,17.794,147068.0
301137.SZ,13.424,15.818,146953.0
000560.SZ,1.47,3.63,146880.0
002272.SZ,3.41,8.42,146793.0
002576.SZ,13.508,27.5,146589.0
002231.SZ,3.0,7.2059999999999995,146520.0
300766.SZ,11.72,25.76,146357.0
000550.SZ,12.6,31.11,146229.0
300554.SZ,12.55,30.982000000000003,145755.0
002217.SZ,0.99,2.3259999999999996,145440.0
300310.SZ,4.012,4.568,145308.0
600114.SH,10.672,14.204,145292.0
300899.SZ,22.214000000000002,44.59,145108.0
002668.SZ,5.07,12.43,144992.0
600322.SH,1.51,3.7,144978.0
603089.SH,7.8260000000000005,14.01,144960.0
600239.SH,2.184,3.032,144774.0
300063.SZ,4.332,5.274,144761.0
601798.SH,4.5,11.01,144522.0
603389.SH,4.384,5.638,144360.0
002295.SZ,3.98,9.72,144074.0
603103.SH,13.959999999999999,19.54,143999.0
300840.SZ,8.71,21.34,143982.0
000913.SZ,8.97,20.484,143856.0
600633.SH,12.168,14.112,143844.0
600714.SH,4.9,11.95,143820.0
600961.SH,10.139999999999999,11.169999999999998,143723.0
600571.SH,10.32,14.899999999999999,143474.0
301025.SZ,5.65,13.09,143440.0
601698.SH,14.044,25.02,143136.0
601881.SH,11.184,13.187999999999999,142790.0
430556.BJ,4.632,6.1240000000000006,142680.0
601928.SH,9.097999999999999,15.45,142677.0
601333.SH,2.548,4.18,142200.0
002230.SZ,42.318,79.99,141897.0
600373.SH,13.514,19.85,141752.0
300097.SZ,6.58,12.98,141660.0
605228.SH,8.698,16.41,141342.0
000034.SZ,26.462,32.674,141294.0
300808.SZ,13.774,15.855999999999998,140962.0
300493.SZ,8.192,9.405999999999999,140927.0
605186.SH,33.802,44.446000000000005,140654.0
603079.SH,9.168,12.703999999999999,140622.0
601136.SH,15.95,28.71,140588.0
002877.SZ,7.1419999999999995,9.826,140136.0
300573.SZ,119.97,294.99,140016.0
603121.SH,7.724,8.816,139992.0
300608.SZ,8.16,19.61,139690.0
603015.SH,7.902,10.474,139650.0
603488.SH,7.604,8.958,139394.0
301163.SZ,13.16,30.512,139350.0
300473.SZ,16.366,18.724,139197.0
603667.SH,13.698,24.25,138965.0
300698.SZ,26.016,42.08,138632.0
300284.SZ,4.16,9.93,138480.0
300826.SZ,11.379999999999999,21.5,138408.0
300378.SZ,17.986,37.13,138200.0
300445.SZ,15.558,18.886000000000003,138150.0
002112.SZ,7.788,13.3,138128.0
002676.SZ,3.988,5.056,137914.0
002544.SZ,11.38,27.23,137895.0
600203.SH,3.65,8.25,137865.0
002264.SZ,3.32,7.9,137858.0
603661.SH,37.678,47.126000000000005,137390.0
603788.SH,11.628,22.14,137210.0
300250.SZ,15.434,17.756,136776.0
605555.SH,15.888,25.0,136714.0
600592.SH,8.4,14.36,136512.0
600990.SH,10.98,25.421999999999997,136409.0
603979.SH,25.24,60.07,135837.0
605296.SH,18.67,44.29,135786.0
300047.SZ,7.587999999999999,8.792,135588.0
002670.SZ,8.554,11.835999999999999,135572.0
300161.SZ,27.968,57.84,135565.0
603087.SH,37.904,59.0,135030.0
603017.SH,6.39,15.03,134784.0
002343.SZ,3.87,8.148,134676.0
003021.SZ,56.8,67.1,134547.0
605333.SH,13.03,30.71,134368.0
002296.SZ,4.93,11.58,134330.0
000962.SZ,11.058,12.562000000000001,134057.0
002331.SZ,6.322,13.45,134052.0
300426.SZ,13.068000000000001,15.334000000000001,133822.0
300882.SZ,18.392,36.68,133712.0
002403.SZ,8.636,12.212,133707.0
600498.SH,14.376000000000001,20.544,133564.0
603059.SH,23.106,25.138,133517.0
603230.SH,12.752,16.776,133402.0
600761.SH,16.1,21.86,133353.0
600733.SH,3.6,8.41,133237.0
301293.SZ,48.0,114.6,133200.0
300985.SZ,25.092,29.483999999999998,133056.0
603798.SH,9.136,10.604,132929.0
601226.SH,5.99,7.41,132769.0
000702.SZ,3.22,7.5,132680.0
002625.SZ,10.37,24.19,132672.0
300403.SZ,6.816,7.752000000000001,132669.0
600531.SH,5.27,7.58,132496.0
300691.SZ,14.614,16.728,132494.0
300307.SZ,4.96,9.08,132444.0
300542.SZ,11.872,16.344,132260.0
600310.SH,3.404,4.652,132095.0
301361.SZ,12.9,29.188000000000002,132055.0
002527.SZ,6.11,14.21,132030.0
300684.SZ,21.861999999999995,25.586,132013.0
601566.SH,9.924,12.428,131802.0
600866.SH,3.46,8.02,131784.0
300567.SZ,60.467999999999996,112.02,131655.0
300033.SZ,98.37,230.02,131650.0
000586.SZ,6.16,13.927999999999999,131544.0
600551.SH,10.408,13.196,131526.0
002436.SZ,12.134,13.896,131483.0
300270.SZ,4.976,7.468,131440.0
000802.SZ,5.44,7.52,131348.0
002682.SZ,4.336,8.8,131033.0
600750.SH,19.972,25.264,130941.0
600026.SH,12.411999999999999,13.884,130639.0
300927.SZ,8.43,18.214,130626.0
430478.BJ,14.05,32.4,130285.0
601121.SH,6.554,12.29,130000.0
300292.SZ,3.482,3.866,129931.0
600105.SH,4.42,8.5,129859.0
301185.SZ,17.624000000000002,38.6,129528.0
600894.SH,5.92,13.63,129528.0
300215.SZ,3.07,7.05,129350.0
300928.SZ,34.282,69.97,128826.0
300809.SZ,20.71,28.48,128348.0
300424.SZ,7.2,16.5,128340.0
600629.SH,5.746,11.57,128178.0
002362.SZ,18.87,38.31,128100.0
600136.SH,2.212,3.3040000000000003,128022.0
002496.SZ,1.25,2.81,128000.0
300381.SZ,3.9,8.059999999999999,128000.0
002602.SZ,3.77,8.0,127831.0
301072.SZ,12.27,27.902,127575.0
603036.SH,10.062000000000001,17.11,127198.0
603825.SH,6.59,14.63,126991.0
601099.SH,3.008,3.4659999999999997,126866.0
002429.SZ,4.9719999999999995,5.466,126794.0
603269.SH,14.062000000000001,16.336,126676.0
002195.SZ,2.39,3.87,126620.0
300172.SZ,5.056,9.28,126527.0
000620.SZ,0.98,2.2119999999999997,126480.0
603656.SH,12.356,14.104000000000001,126307.0
688012.SH,117.08,194.2,126286.0
301389.SZ,9.67,21.93,126278.0
000917.SZ,3.89,7.994,126187.0
600970.SH,9.754,14.69,126045.0
605088.SH,16.706,23.594,125975.0
002983.SZ,20.576,34.0,125782.0
600475.SH,10.280000000000001,11.27,125701.0
600422.SH,16.354,22.666,125600.0
600822.SH,7.67,17.3,125190.0
300738.SZ,10.469999999999999,12.28,125141.0
300634.SZ,24.354,28.072,125131.0
301186.SZ,27.799999999999997,38.14,124992.0
000612.SZ,3.94,8.88,124982.0
000700.SZ,5.258,7.154,124970.0
000949.SZ,2.27,5.11,124960.0
001314.SZ,40.376,55.188,124897.0
000421.SZ,4.888,9.48,124124.0
000680.SZ,8.144,9.15,123902.0
600640.SH,8.3,18.62,123840.0
603011.SH,4.64,10.4,123840.0
300351.SZ,17.658,23.206,123832.0
603030.SH,2.008,2.396,123820.0
002298.SZ,3.13,6.8260000000000005,123453.0
603859.SH,31.194,41.582,123395.0
603813.SH,7.6,15.76,123140.0
301076.SZ,21.344,28.252,123073.0
002239.SZ,2.476,3.388,123044.0
300560.SZ,16.668,18.894,122975.0
430047.BJ,8.5,19.01,122967.0
002103.SZ,6.016,6.912,122817.0
002931.SZ,9.55,21.33,122512.0
001300.SZ,13.860000000000001,31.1,122508.0
300469.SZ,6.6,14.559999999999999,122310.0
000021.SZ,12.668,22.22,122118.0
301285.SZ,11.64,26.0,122060.0
002155.SZ,9.82,21.9,122008.0
300017.SZ,6.7,9.0,121926.0
300818.SZ,24.671999999999997,33.036,121741.0
300862.SZ,27.29,43.65,121702.0
300288.SZ,12.62,25.3,121587.0
300968.SZ,8.044,9.658,121585.0
000701.SZ,2.88,6.186,121450.0
300969.SZ,67.918,117.31,121414.0
603768.SH,13.792,30.16,121374.0
301053.SZ,20.380000000000003,23.17,120929.0
301062.SZ,7.984,11.44,120917.0
603998.SH,8.846,14.63,120744.0
603111.SH,6.006,6.668,120539.0
300337.SZ,6.016,11.0,120271.0
002828.SZ,8.04,11.12,120200.0
600418.SH,12.7,21.82,120074.0
003004.SZ,13.15,26.86,119928.0
300467.SZ,14.106,18.701999999999998,119913.0
605378.SH,20.906,24.193999999999996,119832.0
301138.SZ,14.7,31.235999999999997,119748.0
002387.SZ,5.75,12.67,119716.0
002790.SZ,8.88,11.22,119422.0
300953.SZ,31.01,67.604,119328.0
300522.SZ,10.86,12.42,119240.0
300740.SZ,14.728000000000002,18.584000000000003,119194.0
002922.SZ,10.41,22.82,119136.0
300276.SZ,3.566,3.882,119121.0
300380.SZ,17.052,39.06,118950.0
603508.SH,11.09,24.3,118890.0
002073.SZ,4.47,9.8,118859.0
002769.SZ,4.2,8.52,118762.0
600941.SH,91.868,99.934,118535.0
600766.SH,7.61,16.562,118424.0
300272.SZ,3.75,8.2,118370.0
600129.SH,30.18,66.0,118206.0
300720.SZ,9.15,19.99,118156.0
600667.SH,6.21,6.94,118125.0
300900.SZ,15.52,30.735999999999997,117952.0
000957.SZ,5.68,11.736,117920.0
002599.SZ,5.4559999999999995,10.88,117901.0
300155.SZ,2.57,5.426,117867.0
300040.SZ,3.41,7.43,117786.0
603278.SH,8.312,14.52,117655.0
601001.SH,8.73,19.05,117648.0
600841.SH,3.2,6.5600000000000005,117624.0
300813.SZ,12.25,26.55,117612.0
002779.SZ,22.542,26.284,117412.0
002167.SZ,7.496,8.638,117387.0
300559.SZ,11.04,21.2,117344.0
603928.SH,7.28,15.84,117272.0
601599.SH,3.098,4.054,117220.0
601857.SH,4.97,10.8,117183.0
300251.SZ,7.744,10.756,117039.0
605056.SH,12.128,15.744,116818.0
000993.SZ,9.342,10.468,116656.0
688015.SH,11.2,23.792,116590.0
603577.SH,6.86,9.7,116224.0
002115.SZ,5.418,9.57,116118.0
300238.SZ,10.672,22.48,115906.0
301213.SZ,27.77,36.04,115896.0
603356.SH,10.940000000000001,17.5,115832.0
002333.SZ,6.27,7.89,115584.0
600159.SH,2.77,4.03,115547.0
603277.SH,23.744,27.376,115285.0
301380.SZ,43.682,52.438,115284.0
